affiliate_channel,affiliate_provider,age,country_destination,dac_month,first_affiliate_tracked,first_browser,first_device_type,gender,language,signup_app,signup_flow,signup_method,tfa_month
2.0,4.0,51.0,6,11,0.0,8.0,6.0,1.0,6.0,2.0,0.0,1.0,11
2.0,4.0,37.0,6,11,6.0,17.0,6.0,2.0,6.0,2.0,0.0,0.0,11
2.0,4.0,44.0,0,3,6.0,17.0,6.0,0.0,6.0,2.0,0.0,0.0,3
2.0,4.0,18.0,1,9,6.0,30.0,7.0,1.0,6.0,2.0,0.0,0.0,9
2.0,4.0,37.0,1,1,6.0,22.0,6.0,0.0,6.0,2.0,0.0,0.0,1
2.0,4.0,37.0,0,4,6.0,0.0,4.0,1.0,6.0,0.0,15.0,0.0,4
5.0,8.0,33.0,6,3,3.0,17.0,3.0,0.0,6.0,2.0,0.0,0.0,3
2.0,4.0,37.0,7,7,6.0,8.0,3.0,0.0,6.0,2.0,0.0,0.0,7
2.0,4.0,54.0,1,12,3.0,8.0,6.0,2.0,16.0,2.0,0.0,0.0,12
5.0,8.0,27.0,1,5,6.0,17.0,6.0,1.0,6.0,2.0,0.0,0.0,5
5.0,8.0,37.0,1,5,3.0,8.0,6.0,0.0,6.0,2.0,0.0,0.0,5
2.0,4.0,51.0,1,4,6.0,17.0,3.0,1.0,6.0,2.0,0.0,0.0,4
2.0,4.0,25.0,0,5,6.0,0.0,8.0,1.0,6.0,3.0,17.0,1.0,5
5.0,8.0,49.0,0,6,0.0,8.0,6.0,1.0,6.0,2.0,0.0,0.0,6
2.0,4.0,46.0,0,5,6.0,30.0,7.0,1.0,6.0,2.0,0.0,0.0,5
2.0,4.0,52.0,6,5,0.0,17.0,3.0,2.0,6.0,2.0,0.0,1.0,5
2.0,4.0,37.0,0,4,6.0,22.0,6.0,0.0,6.0,2.0,0.0,0.0,4
2.0,4.0,34.0,8,3,6.0,0.0,4.0,1.0,6.0,2.0,0.0,0.0,3
4.0,8.0,36.0,6,9,6.0,8.0,3.0,2.0,6.0,2.0,0.0,1.0,9
5.0,8.0,29.0,3,12,3.0,8.0,6.0,0.0,6.0,2.0,0.0,0.0,12
5.0,8.0,25.0,8,7,3.0,43.0,3.0,1.0,6.0,2.0,0.0,1.0,7
5.0,8.0,35.0,0,3,3.0,8.0,6.0,1.0,6.0,2.0,0.0,0.0,3
2.0,4.0,26.0,3,10,0.0,17.0,6.0,2.0,6.0,2.0,0.0,0.0,10
6.0,8.0,30.0,6,6,3.0,8.0,6.0,1.0,6.0,2.0,0.0,1.0,6
2.0,4.0,37.0,0,4,3.0,8.0,3.0,0.0,6.0,1.0,16.0,0.0,4
5.0,8.0,37.0,0,8,6.0,43.0,3.0,0.0,6.0,2.0,0.0,0.0,8
2.0,4.0,42.0,6,1,6.0,8.0,3.0,1.0,6.0,2.0,0.0,0.0,1
6.0,8.0,18.0,9,6,6.0,17.0,3.0,0.0,6.0,2.0,3.0,0.0,6
7.0,8.0,105.0,0,2,3.0,17.0,3.0,0.0,6.0,2.0,0.0,0.0,2
2.0,4.0,44.0,1,10,6.0,0.0,4.0,1.0,7.0,1.0,16.0,0.0,10
2.0,4.0,30.0,0,4,0.0,8.0,6.0,1.0,6.0,2.0,0.0,0.0,4
6.0,8.0,30.0,8,4,6.0,17.0,3.0,1.0,6.0,2.0,0.0,1.0,4
0.0,12.0,31.0,0,11,6.0,0.0,8.0,2.0,6.0,3.0,9.0,1.0,11
3.0,13.0,30.0,0,7,6.0,43.0,3.0,1.0,6.0,2.0,0.0,0.0,7
2.0,4.0,45.0,0,2,6.0,43.0,3.0,2.0,6.0,2.0,0.0,1.0,2
2.0,4.0,25.0,6,8,6.0,43.0,3.0,1.0,6.0,2.0,0.0,0.0,8
2.0,4.0,37.0,8,2,3.0,30.0,7.0,0.0,6.0,2.0,0.0,0.0,2
2.0,4.0,50.0,0,3,0.0,22.0,6.0,1.0,6.0,2.0,0.0,0.0,3
2.0,4.0,37.0,6,6,6.0,17.0,6.0,0.0,6.0,2.0,3.0,0.0,6
0.0,12.0,31.0,7,9,6.0,8.0,6.0,2.0,6.0,1.0,9.0,1.0,9
5.0,8.0,37.0,8,6,3.0,43.0,3.0,0.0,7.0,2.0,0.0,0.0,6
2.0,4.0,34.0,1,9,0.0,43.0,3.0,1.0,6.0,2.0,0.0,1.0,9
2.0,4.0,34.0,0,1,6.0,22.0,6.0,0.0,7.0,2.0,0.0,0.0,1
2.0,4.0,40.0,0,5,6.0,8.0,6.0,2.0,6.0,2.0,0.0,0.0,5
2.0,4.0,37.0,6,4,6.0,8.0,6.0,0.0,6.0,2.0,0.0,0.0,4
2.0,4.0,36.0,7,5,6.0,43.0,3.0,2.0,6.0,2.0,0.0,0.0,5
2.0,4.0,34.0,3,2,6.0,43.0,3.0,2.0,6.0,2.0,0.0,0.0,2
2.0,4.0,27.0,9,2,6.0,8.0,3.0,2.0,6.0,2.0,0.0,1.0,2
2.0,4.0,29.0,6,4,6.0,17.0,3.0,1.0,6.0,2.0,0.0,0.0,4
2.0,4.0,54.0,0,5,0.0,43.0,3.0,2.0,6.0,2.0,0.0,0.0,5
2.0,4.0,33.0,8,9,6.0,43.0,3.0,2.0,6.0,2.0,0.0,0.0,9
2.0,4.0,105.0,7,5,6.0,22.0,6.0,0.0,6.0,2.0,0.0,0.0,5
